date,avg_trip_distance
2026-01-01,5.793117170164066
2026-01-02,9.426764247306455
2026-01-03,5.101375653582738
2026-01-04,4.559145179551814
2026-01-05,7.114007488318841
2026-01-06,3.5608855189096156
2026-01-07,7.3339575134207715
2026-01-08,9.1748876301081
2026-01-09,6.320861674165094
2026-01-10,3.3562313717669228
2026-01-11,9.908990052238678
2026-01-12,4.219815968841285
2026-01-13,6.649532589043207
2026-01-14,6.580214114317357
2026-01-15,5.142105401079365
2026-01-16,6.0233379674373655
2026-01-17,11.16335956898571
2026-01-18,6.608054529891578
2026-01-19,9.189874530360862
2026-01-20,6.199305956180189
2026-01-21,7.045033675728872
2026-01-22,4.1428302247026
2026-01-23,4.945926186512111
2026-01-24,5.2956952766643255
2026-01-25,6.494048999063712
2026-01-26,8.588970248077256
2026-01-27,7.809621310683981
2026-01-28,8.071273007176655
2026-01-29,7.524407689583087
2026-01-30,6.500850157739008
2026-01-31,3.1478806310193654
